holeid,from,to,Code
BX20-005,108.48,129.73,TSBF
BX20-005,129.73,137.97,SDST
BX20-005,137.97,153.48,SDST
BX20-005,153.48,175.95,TSBF
BX20-005,175.95,204.37,TSBF
BX20-005,204.37,214.00,SDST
BX20-006,0.00,18.79,BZPZ
BX20-006,18.79,39.97,BZTF
BX20-006,39.97,49.83,BZTF
BX20-006,49.83,63.25,BZPZ
BX20-006,63.25,95.90,BZTF
BX20-006,95.90,121.85,TSBF
BX20-006,121.85,141.34,TSBF
BX20-006,141.34,164.00,DIOR
BX20-007,0.00,15.30,BZTF
BX20-007,15.30,49.65,VOLC
BX20-007,49.65,60.25,VOLC
BX20-007,60.25,92.72,BZPZ
BX20-007,92.72,116.97,SDST
BX20-007,116.97,148.47,MDST
BX20-007,148.47,161.01,SDST
BX20-007,161.01,180.20,MDST
BX20-007,180.20,202.98,VOLC
BX20-007,202.98,214.00,TSBF
BX20-008,0.00,18.64,BZPZ
BX20-008,18.64,34.50,VOLC
BX20-008,34.50,49.18,BZPZ
BX20-008,49.18,77.10,BZTF
BX20-008,77.10,92.00,BZPZ
BX20-008,92.00,112.05,SDST
BX20-008,112.05,144.28,MDST
BX20-008,144.28,158.00,MDST
BX20-009,0.00,17.97,BZTF
BX20-009,17.97,43.62,BZTF
BX20-009,43.62,70.08,BZTF
BX20-009,70.08,85.12,VOLC
BX20-009,85.12,112.54,BZPZ
BX20-009,112.54,126.23,BZTF
BX20-009,126.23,142.38,MDST
BX20-009,142.38,161.55,SDST
BX20-009,161.55,184.26,MDST
BX20-009,184.26,212.28,MDST
BX20-009,212.28,236.40,TSBF
BX20-009,236.40,239.00,MDST
BX20-010,0.00,14.73,BZTF
BX20-010,14.73,24.05,VOLC
BX20-010,24.05,43.38,VOLC
BX20-010,43.38,53.08,BZTF
BX20-010,53.08,72.28,BZTF
BX20-010,72.28,81.75,BZPZ
BX20-010,81.75,96.97,BZPZ
BX20-010,96.97,120.27,VOLC
BX20-010,120.27,151.83,BZPZ
BX20-010,151.83,165.66,MDST
BX20-010,165.66,198.90,SDST
BX20-010,198.90,222.04,SDST
BX20-010,222.04,247.96,TSBF
BX20-010,247.96,248.00,MDST
BX20-011,0.00,33.43,BZTF
BX20-011,33.43,49.18,QFP
BX20-011,49.18,72.07,VOLC
BX20-011,72.07,84.18,BZPZ
BX20-011,84.18,107.69,BZTF
BX20-011,107.69,136.42,MDST
BX20-011,136.42,171.27,SDST
BX20-011,171.27,186.52,TSBF
BX20-011,186.52,197.75,TSBF
BX20-011,197.75,208.96,SDST
BX20-011,208.96,229.00,TSBF
BX20-012,0.00,24.94,BZPZ
BX20-012,24.94,48.69,BZTF
BX20-012,48.69,65.11,VOLC
BX20-012,65.11,75.32,VOLC
BX20-012,75.32,87.25,VOLC
BX20-012,87.25,107.41,MDST
BX20-012,107.41,139.74,MDST
BX20-012,139.74,174.57,MDST
BX20-012,174.57,199.21,TSBF
BX20-012,199.21,221.27,SDST
BX20-012,221.27,244.02,BZPZ
BX20-012,244.02,246.00,TSBF
BX20-013,0.00,24.74,BZTF
BX20-013,24.74,56.42,SDST
BX20-013,56.42,73.33,DIOR
BX20-013,73.33,91.00,QFP
BX20-013,91.00,101.06,QFP
BX20-013,101.06,122.75,QFP
BX20-013,122.75,157.65,QFP
BX20-013,157.65,182.39,QFP
BX20-013,182.39,194.74,DIOR
BX20-013,194.74,213.61,DIOR
BX20-013,213.61,247.80,DIOR
BX20-013,247.80,271.90,DIOR
BX20-013,271.90,282.08,QFP
BX20-013,282.08,300.00,DIOR
BX20-014,0.00,27.78,BZPZ
BX20-014,27.78,61.89,VOLC
BX20-014,61.89,92.92,BZTF
BX20-014,92.92,121.76,VOLC
BX20-014,121.76,147.40,MDST
BX20-014,147.40,180.47,BZTF
BX20-014,180.47,189.97,MDST
BX20-014,189.97,211.52,MDST
BX20-014,211.52,236.56,TSBF
BX20-014,236.56,253.42,TSBF
BX20-014,253.42,273.66,BZTF
BX20-014,273.66,283.94,TSBF
BX20-014,283.94,287.00,MDST
BX20-015,0.00,18.27,BZPZ
BX20-015,18.27,51.32,BZPZ
BX20-015,51.32,83.58,DIOR
BX20-015,83.58,93.02,QFP
BX20-015,93.02,116.77,QFP
BX20-015,116.77,129.19,QFP
BX20-015,129.19,153.54,QFP
BX20-015,153.54,172.18,DIOR
BX20-015,172.18,176.00,DIOR
BX20-016,0.00,8.47,BZTF
BX20-016,8.47,32.06,BZTF
BX20-016,32.06,65.90,BZTF
BX20-016,65.90,83.42,BZPZ
BX20-016,83.42,107.46,BZPZ
BX20-016,107.46,130.84,TSBF
BX20-016,130.84,155.00,TSBF
BX20-019,0.00,30.94,BZPZ
BX20-019,30.94,55.05,BZPZ
BX20-019,55.05,81.98,VOLC
BX20-019,81.98,100.52,VOLC
BX20-019,100.52,133.11,VOLC
BX20-019,133.11,167.08,TSBF
BX20-019,167.08,172.00,MDST
BX20-020,0.00,28.47,BZPZ
BX20-020,28.47,54.54,VOLC
BX20-020,54.54,88.33,BZPZ
BX20-020,88.33,113.58,BZTF
BX20-020,113.58,123.37,BZPZ
BX20-020,123.37,151.22,MDST
BX20-020,151.22,173.46,TSBF
BX20-020,173.46,207.96,SDST
BX20-020,207.96,233.40,SDST
BX20-020,233.40,245.42,MDST
BX20-020,245.42,262.00,TSBF
BX21-021,0.00,26.03,QFP
BX21-021,26.03,39.37,BZPZ
BX21-021,39.37,48.06,VOLC
BX21-021,48.06,59.59,BZPZ
BX21-021,59.59,93.81,BZTF
BX21-021,93.81,120.45,SDST
BX21-021,120.45,134.00,TSBF
BX21-022,0.00,23.92,BZTF
BX21-022,23.92,54.40,BZPZ
BX21-022,54.40,78.43,BZPZ
BX21-022,78.43,112.11,BZPZ
BX21-022,112.11,141.59,TSBF
BX21-022,141.59,167.19,TSBF
BX21-022,167.19,189.48,MDST
BX21-022,189.48,199.27,SDST
BX21-022,199.27,233.59,SDST
BX21-022,233.59,242.00,SDST
BX21-023,0.00,9.34,BZTF
BX21-023,9.34,39.50,BZTF
BX21-023,39.50,57.55,DIOR
BX21-023,57.55,84.20,DIOR
BX21-023,84.20,107.77,QFP
BX21-023,107.77,138.71,DIOR
BX21-023,138.71,161.27,QFP
BX21-023,161.27,188.00,DIOR
BX21-024,0.00,28.56,BZTF
BX21-024,28.56,49.35,QFP
BX21-024,49.35,59.09,DIOR
BX21-024,59.09,73.32,QFP
BX21-024,73.32,86.64,DIOR
BX21-024,86.64,97.04,QFP
BX21-024,97.04,108.12,QFP
BX21-024,108.12,131.62,DIOR
BX21-024,131.62,141.00,BZTF
BX21-025,0.00,24.03,BZPZ
BX21-025,24.03,34.58,QFP
BX21-025,34.58,54.35,DIOR
BX21-025,54.35,67.06,VOLC
BX21-025,67.06,87.11,VOLC
BX21-025,87.11,96.34,DIOR
BX21-025,96.34,130.10,DIOR
BX21-025,130.10,143.79,DIOR
BX21-025,143.79,156.10,QFP
BX21-025,156.10,180.31,SDST
BX21-025,180.31,206.72,DIOR
BX21-025,206.72,218.51,TSBF
BX21-025,218.51,236.75,QFP
BX21-025,236.75,248.20,MDST
BX21-025,248.20,256.00,TSBF
BX21-026,0.00,13.72,VOLC
BX21-026,13.72,43.59,BZTF
BX21-026,43.59,67.15,DIOR
BX21-026,67.15,86.04,DIOR
BX21-026,86.04,118.13,DIOR
BX21-026,118.13,143.13,SDST
BX21-026,143.13,162.33,DIOR
BX21-026,162.33,173.00,DIOR
BX21-027,0.00,31.47,BZTF
BX21-027,31.47,63.95,BZPZ
BX21-027,63.95,84.94,BZTF
BX21-027,84.94,118.62,BZTF
BX21-027,118.62,121.00,VOLC
BX21-029,0.00,16.21,VOLC
BX21-029,16.21,40.45,BZPZ
BX21-029,40.45,75.38,BZTF
BX21-029,75.38,108.04,BZPZ
BX21-029,108.04,119.04,BZTF
BX21-029,119.04,135.15,VOLC
BX21-029,135.15,147.27,TSBF
BX21-029,147.27,166.95,SDST
BX21-029,166.95,201.46,BZPZ
BX21-029,201.46,217.54,SDST
BX21-029,217.54,236.41,TSBF
BX21-029,236.41,253.40,QFP
BX21-029,253.40,282.62,DIOR
BX21-029,282.62,308.61,MDST
BX21-029,308.61,313.00,SDST
BX21-030,0.00,11.25,VOLC
BX21-030,11.25,35.15,VOLC
BX21-030,35.15,56.94,SDST
BX21-030,56.94,83.68,DIOR
BX21-030,83.68,96.37,BZPZ
BX21-030,96.37,110.18,TSBF
BX21-030,110.18,138.82,BZPZ
BX21-030,138.82,152.00,TSBF
BX21-031,0.00,13.52,VOLC
BX21-031,13.52,29.57,BZPZ
BX21-031,29.57,54.59,BZTF
BX21-031,54.59,69.01,BZPZ
BX21-031,69.01,99.94,QFP
BX21-031,99.94,115.16,MDST
BX21-031,115.16,140.48,MDST
BX21-031,140.48,161.12,TSBF
BX21-031,161.12,182.52,MDST
BX21-031,182.52,205.00,DIOR
BX21-032,0.00,14.61,VOLC
BX21-032,14.61,45.41,BZTF
BX21-032,45.41,69.78,BZTF
BX21-032,69.78,85.29,BZPZ
BX21-032,85.29,103.97,BZPZ
BX21-032,103.97,115.31,QFP
BX21-032,115.31,149.19,QFP
BX21-032,149.19,164.22,QFP
BX21-032,164.22,183.81,DIOR
BX21-032,183.81,186.00,QFP
BX21-034,0.00,24.20,VOLC
BX21-034,24.20,36.06,BZTF
BX21-034,36.06,51.55,DIOR
BX21-034,51.55,69.80,MDST
BX21-034,69.80,99.30,QFP
BX21-034,99.30,122.29,DIOR
BX21-034,122.29,125.00,DIOR
BX21-036,0.00,16.09,BZTF
BX21-036,16.09,47.29,VOLC
BX21-036,47.29,79.13,VOLC
BX21-036,79.13,100.26,BZPZ
BX21-036,100.26,118.63,TSBF
BX21-036,118.63,134.67,TSBF
BX21-036,134.67,169.04,MDST
BX21-036,169.04,177.87,SDST
BX21-036,177.87,188.82,TSBF
BX21-036,188.82,195.00,SDST
BX21-037,0.00,15.44,BZPZ
BX21-037,15.44,49.51,BZPZ
BX21-037,49.51,58.17,BZTF
BX21-037,58.17,71.65,VOLC
BX21-037,71.65,90.99,VOLC
BX21-037,90.99,109.97,BZTF
BX21-037,109.97,138.03,MDST
BX21-037,138.03,166.84,MDST
BX21-037,166.84,176.24,SDST
BX21-037,176.24,194.71,TSBF
BX21-037,194.71,210.10,MDST
BX21-037,210.10,223.94,SDST
BX21-037,223.94,244.04,SDST
BX21-037,244.04,264.10,TSBF
BX21-037,264.10,275.65,TSBF
BX21-037,275.65,292.53,TSBF
BX21-037,292.53,313.01,MDST
BX21-037,313.01,316.00,BZTF
BX21-038,0.00,28.44,BZTF
BX21-038,28.44,42.40,BZTF
BX21-038,42.40,65.82,VOLC
BX21-038,65.82,79.11,BZPZ
BX21-038,79.11,98.80,QFP
BX21-038,98.80,127.89,DIOR
BX21-038,127.89,140.00,SDST
BX21-038,140.00,165.67,TSBF
BX21-038,165.67,200.41,BZPZ
BX21-038,200.41,216.00,TSBF
BX21-039,0.00,32.86,BZPZ
BX21-039,32.86,53.50,BZPZ
BX21-039,53.50,65.76,BZTF
BX21-039,65.76,85.14,BZPZ
BX21-039,85.14,115.46,DIOR
BX21-039,115.46,132.76,VOLC
BX21-039,132.76,161.52,TSBF
BX21-039,161.52,196.18,SDST
BX21-039,196.18,228.68,TSBF
BX21-039,228.68,258.37,SDST
BX21-039,258.37,279.70,BZPZ
BX21-039,279.70,296.81,TSBF
BX21-039,296.81,308.00,MDST
BX21-040,0.00,33.85,BZTF
BX21-040,33.85,58.18,BZPZ
BX21-040,58.18,72.17,BZPZ
BX21-040,72.17,94.86,VOLC
BX21-040,94.86,110.45,BZPZ
BX21-040,110.45,131.64,VOLC
BX21-040,131.64,163.60,BZTF
BX21-040,163.60,186.08,SDST
BX21-040,186.08,189.00,SDST
BX22-041,0.00,8.34,BZTF
BX22-041,8.34,38.39,BZTF
BX22-041,38.39,48.16,VOLC
BX22-041,48.16,63.24,BZTF
BX22-041,63.24,81.55,BZPZ
BX22-041,81.55,105.88,BZPZ
BX22-041,105.88,131.31,TSBF
BX22-041,131.31,139.48,TSBF
BX22-041,139.48,170.64,SDST
BX22-041,170.64,179.35,TSBF
BX22-041,179.35,199.57,SDST
BX22-041,199.57,230.89,MDST
BX22-041,230.89,259.84,DIOR
BX22-041,259.84,274.50,TSBF
BX22-041,274.50,287.20,MDST
BX22-041,287.20,299.49,MDST
BX22-041,299.49,315.00,SDST
BX22-042,0.00,23.94,BZTF
BX22-042,23.94,47.37,BZPZ
BX22-042,47.37,67.30,BZPZ
BX22-042,67.30,87.47,BZPZ
BX22-042,87.47,120.03,TSBF
BX22-042,120.03,135.74,QFP
BX22-042,135.74,169.58,TSBF
BX22-042,169.58,178.10,TSBF
BX22-042,178.10,206.01,MDST
BX22-042,206.01,233.82,MDST
BX22-042,233.82,252.13,TSBF
BX22-042,252.13,276.33,MDST
BX22-042,276.33,304.99,MDST
BX22-042,304.99,307.00,BZTF
BX22-043,0.00,32.97,BZTF
BX22-043,32.97,41.79,BZTF
BX22-043,41.79,64.17,BZTF
BX22-043,64.17,74.86,BZPZ
BX22-043,74.86,89.47,SDST
BX22-043,89.47,98.70,SDST
BX22-043,98.70,123.65,SDST
BX22-043,123.65,131.00,TSBF
BX22-044,0.00,12.84,VOLC
BX22-044,12.84,45.85,QFP
BX22-044,45.85,58.19,QFP
BX22-044,58.19,89.76,VOLC
BX22-044,89.76,106.20,BZPZ
BX22-044,106.20,128.19,DIOR
BX22-044,128.19,157.21,TSBF
BX22-044,157.21,177.30,DIOR
BX22-044,177.30,191.18,SDST
BX22-044,191.18,223.40,TSBF
BX22-044,223.40,257.66,SDST
BX22-044,257.66,267.85,TSBF
BX22-044,267.85,281.00,BZTF
BX22-045,0.00,21.46,VOLC
BX22-045,21.46,48.33,QFP
BX22-045,48.33,65.47,VOLC
BX22-045,65.47,82.80,BZTF
BX22-045,82.80,101.88,VOLC
BX22-045,101.88,123.10,SDST
BX22-045,123.10,136.31,SDST
BX22-045,136.31,144.89,SDST
BX22-045,144.89,165.66,TSBF
BX22-045,165.66,192.55,SDST
BX22-045,192.55,201.51,SDST
BX22-045,201.51,215.00,MDST
BX22-046,0.00,17.08,BZTF
BX22-046,17.08,42.24,BZTF
BX22-046,42.24,54.14,BZPZ
BX22-046,54.14,66.43,BZTF
BX22-046,66.43,91.83,QFP
BX22-046,91.83,121.42,TSBF
BX22-046,121.42,132.03,TSBF
BX22-046,132.03,142.37,SDST
BX22-046,142.37,170.03,DIOR
BX22-046,170.03,187.28,MDST
BX22-046,187.28,214.66,TSBF
BX22-046,214.66,227.97,MDST
BX22-046,227.97,239.64,SDST
BX22-046,239.64,250.68,SDST
BX22-046,250.68,259.00,SDST
BX22-047,0.00,23.15,VOLC
BX22-047,23.15,38.76,BZPZ
BX22-047,38.76,64.09,VOLC
BX22-047,64.09,87.79,VOLC
BX22-047,87.79,108.70,BZPZ
BX22-047,108.70,140.35,MDST
BX22-047,140.35,156.59,TSBF
BX22-047,156.59,181.56,TSBF
BX22-047,181.56,200.98,MDST
BX22-047,200.98,230.66,MDST
BX22-047,230.66,239.52,SDST
BX22-047,239.52,251.88,SDST
BX22-047,251.88,261.00,MDST
BX22-048,0.00,19.46,SDST
BX22-048,19.46,49.91,BZTF
BX22-048,49.91,61.89,VOLC
BX22-048,61.89,91.45,BZTF
BX22-048,91.45,124.18,VOLC
BX22-048,124.18,139.24,VOLC
BX22-048,139.24,171.17,SDST
BX22-048,171.17,205.01,TSBF
BX22-048,205.01,223.00,SDST
BX22-049,0.00,11.46,BZPZ
BX22-049,11.46,44.55,BZPZ
BX22-049,44.55,61.71,QFP
BX22-049,61.71,73.12,BZTF
BX22-049,73.12,99.19,VOLC
BX22-049,99.19,122.99,BZPZ
BX22-049,122.99,143.69,BZTF
BX22-049,143.69,160.38,MDST
BX22-049,160.38,170.89,TSBF
BX22-049,170.89,186.13,MDST
BX22-049,186.13,207.77,TSBF
BX22-049,207.77,234.97,QFP
BX22-049,234.97,242.00,TSBF
BX22-050,0.00,23.38,VOLC
BX22-050,23.38,57.79,BZPZ
BX22-050,57.79,65.85,VOLC
BX22-050,65.85,85.89,BZPZ
BX22-050,85.89,98.46,VOLC
BX22-050,98.46,122.72,BZPZ
BX22-050,122.72,138.59,VOLC
BX22-050,138.59,166.38,TSBF
BX22-050,166.38,194.76,MDST
BX22-050,194.76,214.66,SDST
BX22-050,214.66,220.00,SDST
BX22-051,0.00,12.23,VOLC
BX22-051,12.23,32.27,BZTF
BX22-051,32.27,59.22,QFP
BX22-051,59.22,83.20,VOLC
BX22-051,83.20,106.14,BZTF
BX22-051,106.14,128.00,SDST
BX22-052,0.00,16.79,VOLC
BX22-052,16.79,40.02,VOLC
BX22-052,40.02,69.09,VOLC
BX22-052,69.09,79.60,BZTF
BX22-052,79.60,111.61,BZPZ
BX22-052,111.61,124.00,SDST
BX22-053,0.00,12.55,BZTF
BX22-053,12.55,35.21,BZPZ
BX22-053,35.21,59.34,VOLC
BX22-053,59.34,75.64,VOLC
BX22-053,75.64,99.24,BZTF
BX22-053,99.24,133.76,BZTF
BX22-053,133.76,140.00,TSBF
BX22-054,0.00,31.72,BZPZ
BX22-054,31.72,42.19,VOLC
BX22-054,42.19,72.74,BZTF
BX22-054,72.74,83.50,BZTF
BX22-054,83.50,94.20,BZPZ
BX22-054,94.20,115.14,TSBF
BX22-054,115.14,126.90,SDST
BX22-054,126.90,143.79,SDST
BX22-054,143.79,167.31,MDST
BX22-054,167.31,187.83,SDST
BX22-054,187.83,214.07,SDST
BX22-054,214.07,240.32,MDST
BX22-054,240.32,250.00,SDST
BX22-055,0.00,9.48,VOLC
BX22-055,9.48,27.83,BZTF
BX22-055,27.83,62.44,BZTF
BX22-055,62.44,72.26,VOLC
BX22-055,72.26,106.76,BZTF
BX22-055,106.76,136.44,BZTF
BX22-055,136.44,150.75,TSBF
BX22-055,150.75,176.75,SDST
BX22-055,176.75,207.10,MDST
BX22-055,207.10,228.28,TSBF
BX22-055,228.28,259.00,BZPZ
BX22-056,0.00,10.04,VOLC
BX22-056,10.04,37.36,VOLC
BX22-056,37.36,65.97,VOLC
BX22-056,65.97,83.35,BZTF
BX22-056,83.35,93.54,VOLC
BX22-056,93.54,117.05,BZTF
BX22-056,117.05,145.00,SDST
BX22-057,0.00,34.26,BZPZ
BX22-057,34.26,66.87,DIOR
BX22-057,66.87,82.75,VOLC
BX22-057,82.75,104.91,BZTF
BX22-057,104.91,127.29,SDST
BX22-057,127.29,150.04,MDST
BX22-057,150.04,183.70,SDST
BX22-057,183.70,204.00,MDST
BX22-058,0.00,22.47,BZTF
BX22-058,22.47,46.54,VOLC
BX22-058,46.54,78.80,BZTF
BX22-058,78.80,98.12,VOLC
BX22-058,98.12,108.46,VOLC
BX22-058,108.46,126.09,SDST
BX22-058,126.09,145.63,SDST
BX22-058,145.63,173.62,SDST
BX22-058,173.62,183.01,TSBF
BX22-058,183.01,201.58,MDST
BX22-058,201.58,227.84,MDST
BX22-058,227.84,239.22,MDST
BX22-058,239.22,243.00,TSBF
BX22-059,0.00,12.84,VOLC
BX22-059,12.84,38.67,BZPZ
BX22-059,38.67,58.51,BZTF
BX22-059,58.51,69.24,VOLC
BX22-059,69.24,81.81,VOLC
BX22-059,81.81,115.83,VOLC
BX22-059,115.83,139.72,VOLC
BX22-059,139.72,161.35,VOLC
BX22-059,161.35,184.38,MDST
BX22-059,184.38,209.39,MDST
BX22-059,209.39,227.69,TSBF
BX22-059,227.69,260.32,MDST
BX22-059,260.32,273.00,TSBF
BX22-059,273.00,290.27,BZPZ
BX22-059,290.27,295.00,MDST
BX22-060,0.00,14.09,BZTF
BX22-060,14.09,37.16,VOLC
BX22-060,37.16,67.90,BZTF
BX22-060,67.90,81.29,BZPZ
BX22-060,81.29,105.45,VOLC
BX22-060,105.45,126.00,BZTF
