"HoleID","Depth_m","Dip","Azimuth"
"BX20-008","100.00","-58.80","271.60"
"BX20-008","150.00","-58.20","272.40"
"BX20-008","200.00","-57.60","273.20"
"BX20-008","250.00","-57.00","274.00"
"BX20-008","300.00","-56.40","274.80"
"BX20-008","319.00","-55.80","275.60"
"BX20-009","0.00","-60.00","90.00"
"BX20-009","50.00","-59.40","90.80"
"BX20-009","100.00","-58.80","91.60"
"BX20-009","150.00","-58.20","92.40"
"BX20-009","200.00","-57.60","93.20"
"BX20-009","250.00","-57.00","94.00"
"BX20-009","300.00","-56.40","94.80"
"BX20-009","301.00","-55.80","95.60"
"BX20-010","0.00","-65.00","90.00"
"BX20-010","50.00","-64.40","90.80"
"BX20-010","100.00","-63.80","91.60"
"BX20-010","150.00","-63.20","92.40"
"BX20-010","200.00","-62.60","93.20"
"BX20-010","227.00","-62.00","94.00"
"BX20-011","0.00","-75.00","90.00"
"BX20-011","50.00","-74.40","90.80"
"BX20-011","100.00","-73.80","91.60"
"BX20-011","150.00","-73.20","92.40"
"BX20-011","200.00","-72.60","93.20"
"BX20-011","208.00","-72.00","94.00"
"BX20-012","0.00","-90.00","0.00"
"BX20-012","50.00","-89.40","0.80"
"BX20-012","100.00","-88.80","1.60"
"BX20-012","150.00","-88.20","2.40"
"BX20-012","200.00","-87.60","3.20"
"BX20-012","207.00","-87.00","4.00"
"BX20-013","0.00","-65.00","90.00"
"BX20-013","50.00","-64.40","90.80"
"BX20-013","100.00","-63.80","91.60"
"BX20-013","150.00","-63.20","92.40"
"BX20-013","172.00","-62.60","93.20"
"BX20-014","0.00","-60.00","270.00"
"BX20-014","50.00","-59.40","270.80"
"BX20-014","100.00","-58.80","271.60"
"BX20-014","150.00","-58.20","272.40"
"BX20-014","200.00","-57.60","273.20"
"BX20-014","250.00","-57.00","274.00"
"BX20-014","298.00","-56.40","274.80"
"BX20-015","0.00","-90.00","0.00"
"BX20-015","50.00","-89.40","0.80"
"BX20-015","100.00","-88.80","1.60"
"BX20-015","150.00","-88.20","2.40"
"BX20-015","163.00","-87.60","3.20"
"BX20-016","0.00","-75.00","0.00"
"BX20-016","50.00","-74.40","0.80"
"BX20-016","100.00","-73.80","1.60"
"BX20-016","150.00","-73.20","2.40"
"BX20-016","200.00","-72.60","3.20"
"BX20-016","201.00","-72.00","4.00"
"BX20-017","0.00","-60.00","0.00"
"BX20-017","50.00","-59.40","0.80"
"BX20-017","100.00","-58.80","1.60"
"BX20-017","150.00","-58.20","2.40"
"BX20-017","197.00","-57.60","3.20"
"BX20-018","0.00","-75.00","90.00"
"BX20-018","50.00","-74.40","90.80"
"BX20-018","100.00","-73.80","91.60"
"BX20-018","150.00","-73.20","92.40"
"BX20-018","200.00","-72.60","93.20"
"BX20-018","250.00","-72.00","94.00"
"BX20-018","268.00","-71.40","94.80"
"BX20-019","0.00","-60.00","90.00"
"BX20-019","50.00","-59.40","90.80"
"BX20-019","100.00","-58.80","91.60"
"BX20-019","150.00","-58.20","92.40"
"BX20-019","174.00","-57.60","93.20"
"BX20-020","0.00","-75.00","0.00"
"BX20-020","50.00","-74.40","0.80"
"BX20-020","100.00","-73.80","1.60"
"BX20-020","150.00","-73.20","2.40"
"BX20-020","156.00","-72.60","3.20"
"BX21-021","0.00","-90.00","0.00"
"BX21-021","50.00","-89.40","0.80"
"BX21-021","100.00","-88.80","1.60"
"BX21-021","150.00","-88.20","2.40"
"BX21-021","200.00","-87.60","3.20"
"BX21-021","250.00","-87.00","4.00"
"BX21-021","300.00","-86.40","4.80"
"BX21-021","312.00","-85.80","5.60"
"BX21-022","0.00","-60.00","270.00"
"BX21-022","50.00","-59.40","270.80"
"BX21-022","100.00","-58.80","271.60"
"BX21-022","142.00","-58.20","272.40"
"BX21-023","0.00","-65.00","90.00"
"BX21-023","50.00","-64.40","90.80"
"BX21-023","100.00","-63.80","91.60"
"BX21-023","133.00","-63.20","92.40"
"BX21-024","0.00","-75.00","0.00"
"BX21-024","50.00","-74.40","0.80"
"BX21-024","100.00","-73.80","1.60"
"BX21-024","150.00","-73.20","2.40"
"BX21-024","200.00","-72.60","3.20"
"BX21-024","228.00","-72.00","4.00"
"BX21-025","0.00","-90.00","0.00"
"BX21-025","50.00","-89.40","0.80"
"BX21-025","100.00","-88.80","1.60"
"BX21-025","129.00","-88.20","2.40"
"BX21-026","0.00","-75.00","270.00"
"BX21-026","50.00","-74.40","270.80"
"BX21-026","100.00","-73.80","271.60"
"BX21-026","150.00","-73.20","272.40"
"BX21-026","194.00","-72.60","273.20"
"BX21-027","0.00","-60.00","0.00"
"BX21-027","50.00","-59.40","0.80"
"BX21-027","100.00","-58.80","1.60"
"BX21-027","150.00","-58.20","2.40"
"BX21-027","200.00","-57.60","3.20"
"BX21-027","250.00","-57.00","4.00"
"BX21-027","295.00","-56.40","4.80"
"BX21-028","0.00","-65.00","90.00"
"BX21-028","50.00","-64.40","90.80"
"BX21-028","100.00","-63.80","91.60"
"BX21-028","150.00","-63.20","92.40"
"BX21-028","200.00","-62.60","93.20"
"BX21-028","250.00","-62.00","94.00"
"BX21-028","265.00","-61.40","94.80"
"BX21-029","0.00","-65.00","90.00"
"BX21-029","50.00","-64.40","90.80"
"BX21-029","100.00","-63.80","91.60"
"BX21-029","150.00","-63.20","92.40"
"BX21-029","200.00","-62.60","93.20"
"BX21-029","250.00","-62.00","94.00"
"BX21-029","294.00","-61.40","94.80"
"BX21-030","0.00","-60.00","0.00"
"BX21-030","50.00","-59.40","0.80"
"BX21-030","100.00","-58.80","1.60"
"BX21-030","150.00","-58.20","2.40"
"BX21-030","200.00","-57.60","3.20"
"BX21-030","250.00","-57.00","4.00"
"BX21-030","261.00","-56.40","4.80"
"BX21-031","0.00","-60.00","270.00"
"BX21-031","50.00","-59.40","270.80"
"BX21-031","100.00","-58.80","271.60"
"BX21-031","150.00","-58.20","272.40"
"BX21-031","184.00","-57.60","273.20"
"BX21-032","0.00","-75.00","270.00"
"BX21-032","50.00","-74.40","270.80"
"BX21-032","100.00","-73.80","271.60"
"BX21-032","150.00","-73.20","272.40"
"BX21-032","200.00","-72.60","273.20"
"BX21-032","250.00","-72.00","274.00"
"BX21-032","293.00","-71.40","274.80"
"BX21-033","0.00","-90.00","0.00"
"BX21-033","50.00","-89.40","0.80"
"BX21-033","100.00","-88.80","1.60"
"BX21-033","150.00","-88.20","2.40"
"BX21-033","200.00","-87.60","3.20"
"BX21-033","228.00","-87.00","4.00"
"BX21-034","0.00","-75.00","0.00"
"BX21-034","50.00","-74.40","0.80"
"BX21-034","100.00","-73.80","1.60"
"BX21-034","150.00","-73.20","2.40"
"BX21-034","154.00","-72.60","3.20"
"BX21-035","0.00","-75.00","270.00"
"BX21-035","50.00","-74.40","270.80"
"BX21-035","100.00","-73.80","271.60"
"BX21-035","150.00","-73.20","272.40"
"BX21-035","197.00","-72.60","273.20"
"BX21-036","0.00","-90.00","0.00"
"BX21-036","50.00","-89.40","0.80"
"BX21-036","100.00","-88.80","1.60"
"BX21-036","150.00","-88.20","2.40"
"BX21-036","176.00","-87.60","3.20"
"BX21-037","0.00","-65.00","270.00"
"BX21-037","50.00","-64.40","270.80"
"BX21-037","100.00","-63.80","271.60"
"BX21-037","150.00","-63.20","272.40"
"BX21-037","200.00","-62.60","273.20"
"BX21-037","250.00","-62.00","274.00"
"BX21-037","300.00","-61.40","274.80"
"BX21-037","305.00","-60.80","275.60"
"BX21-038","0.00","-65.00","90.00"
"BX21-038","50.00","-64.40","90.80"
"BX21-038","100.00","-63.80","91.60"
"BX21-038","150.00","-63.20","92.40"
"BX21-038","200.00","-62.60","93.20"
"BX21-039","0.00","-60.00","270.00"
"BX21-039","50.00","-59.40","270.80"
"BX21-039","100.00","-58.80","271.60"
"BX21-039","150.00","-58.20","272.40"
"BX21-039","200.00","-57.60","273.20"
"BX21-040","0.00","-65.00","0.00"
"BX21-040","50.00","-64.40","0.80"
"BX21-040","100.00","-63.80","1.60"
"BX21-040","150.00","-63.20","2.40"
"BX21-040","200.00","-62.60","3.20"
"BX21-040","201.00","-62.00","4.00"
"BX22-041","0.00","-60.00","270.00"
"BX22-041","50.00","-59.40","270.80"
"BX22-041","100.00","-58.80","271.60"
"BX22-041","127.00","-58.20","272.40"
"BX22-042","0.00","-60.00","270.00"
"BX22-042","50.00","-59.40","270.80"
"BX22-042","100.00","-58.80","271.60"
"BX22-042","150.00","-58.20","272.40"
"BX22-042","200.00","-57.60","273.20"
"BX22-042","250.00","-57.00","274.00"
"BX22-042","300.00","-56.40","274.80"
"BX22-042","314.00","-55.80","275.60"
"BX22-043","0.00","-90.00","0.00"
"BX22-043","50.00","-89.40","0.80"
"BX22-043","100.00","-88.80","1.60"
"BX22-043","150.00","-88.20","2.40"
"BX22-043","200.00","-87.60","3.20"
"BX22-043","232.00","-87.00","4.00"
"BX22-044","0.00","-65.00","270.00"
"BX22-044","50.00","-64.40","270.80"
"BX22-044","100.00","-63.80","271.60"
"BX22-044","150.00","-63.20","272.40"
"BX22-044","200.00","-62.60","273.20"
"BX22-044","250.00","-62.00","274.00"
"BX22-044","269.00","-61.40","274.80"
"BX22-045","0.00","-75.00","90.00"
"BX22-045","50.00","-74.40","90.80"
"BX22-045","100.00","-73.80","91.60"
"BX22-045","150.00","-73.20","92.40"
"BX22-045","200.00","-72.60","93.20"
"BX22-045","241.00","-72.00","94.00"
"BX22-046","0.00","-60.00","0.00"
"BX22-046","50.00","-59.40","0.80"
"BX22-046","100.00","-58.80","1.60"
"BX22-046","150.00","-58.20","2.40"
"BX22-046","200.00","-57.60","3.20"
"BX22-046","250.00","-57.00","4.00"
"BX22-046","300.00","-56.40","4.80"
"BX22-046","302.00","-55.80","5.60"
"BX22-047","0.00","-65.00","270.00"
"BX22-047","50.00","-64.40","270.80"
"BX22-047","100.00","-63.80","271.60"
"BX22-047","150.00","-63.20","272.40"
"BX22-047","200.00","-62.60","273.20"
"BX22-047","228.00","-62.00","274.00"
"BX22-048","0.00","-65.00","90.00"
"BX22-048","50.00","-64.40","90.80"
"BX22-048","100.00","-63.80","91.60"
"BX22-048","150.00","-63.20","92.40"
"BX22-048","200.00","-62.60","93.20"
"BX22-048","230.00","-62.00","94.00"
"BX22-049","0.00","-90.00","0.00"
"BX22-049","50.00","-89.40","0.80"
"BX22-049","100.00","-88.80","1.60"
"BX22-049","150.00","-88.20","2.40"
"BX22-049","200.00","-87.60","3.20"
"BX22-049","250.00","-87.00","4.00"
"BX22-049","264.00","-86.40","4.80"
"BX22-050","0.00","-75.00","90.00"
"BX22-050","50.00","-74.40","90.80"
"BX22-050","100.00","-73.80","91.60"
"BX22-050","150.00","-73.20","92.40"
"BX22-050","200.00","-72.60","93.20"
"BX22-050","224.00","-72.00","94.00"
"BX22-051","0.00","-75.00","0.00"
"BX22-051","50.00","-74.40","0.80"
"BX22-051","100.00","-73.80","1.60"
"BX22-051","150.00","-73.20","2.40"
"BX22-051","200.00","-72.60","3.20"
"BX22-051","205.00","-72.00","4.00"
"BX22-052","0.00","-75.00","270.00"
"BX22-052","50.00","-74.40","270.80"
"BX22-052","100.00","-73.80","271.60"
"BX22-052","150.00","-73.20","272.40"
"BX22-052","200.00","-72.60","273.20"
"BX22-052","224.00","-72.00","274.00"
"BX22-053","0.00","-90.00","0.00"
"BX22-053","50.00","-89.40","0.80"
"BX22-053","100.00","-88.80","1.60"
"BX22-053","150.00","-88.20","2.40"
"BX22-053","200.00","-87.60","3.20"
"BX22-053","223.00","-87.00","4.00"
"BX22-054","0.00","-65.00","0.00"
"BX22-054","50.00","-64.40","0.80"
"BX22-054","100.00","-63.80","1.60"
"BX22-054","141.00","-63.20","2.40"
"BX22-055","0.00","-60.00","90.00"
"BX22-055","50.00","-59.40","90.80"
"BX22-055","100.00","-58.80","91.60"
"BX22-055","150.00","-58.20","92.40"
"BX22-055","200.00","-57.60","93.20"
"BX22-055","227.00","-57.00","94.00"
"BX22-056","0.00","-90.00","0.00"
"BX22-056","50.00","-89.40","0.80"
"BX22-056","100.00","-88.80","1.60"
"BX22-056","150.00","-88.20","2.40"
"BX22-056","189.00","-87.60","3.20"
"BX22-057","0.00","-60.00","90.00"
"BX22-057","50.00","-59.40","90.80"
"BX22-057","100.00","-58.80","91.60"
"BX22-057","150.00","-58.20","92.40"
"BX22-057","191.00","-57.60","93.20"
"BX22-058","0.00","-60.00","90.00"
"BX22-058","50.00","-59.40","90.80"
"BX22-058","100.00","-58.80","91.60"
"BX22-058","150.00","-58.20","92.40"
"BX22-058","151.00","-57.60","93.20"
"BX22-059","0.00","-90.00","0.00"
"BX22-059","50.00","-89.40","0.80"
"BX22-059","100.00","-88.80","1.60"
"BX22-059","150.00","-88.20","2.40"
"BX22-059","153.00","-87.60","3.20"
"BX22-060","0.00","-65.00","90.00"
"BX22-060","50.00","-64.40","90.80"
"BX22-060","100.00","-63.80","91.60"
"BX22-060","150.00","-63.20","92.40"
"BX22-060","200.00","-62.60","93.20"
"BX22-060","248.00","-62.00","94.00"
