holeid,from,to,Code
BX20-011,136.48,150.58,SDST
BX20-011,150.58,180.81,SDST
BX20-011,180.81,195.82,TSBF
BX20-011,195.82,208.00,MDST
BX20-013,0.00,18.67,BZTF
BX20-013,18.67,37.19,BZTF
BX20-013,37.19,46.71,BZTF
BX20-013,46.71,66.54,MDST
BX20-013,66.54,90.43,QFP
BX20-013,90.43,107.11,QFP
BX20-013,107.11,126.75,DIOR
BX20-013,126.75,143.64,QFP
BX20-013,143.64,167.51,TSBF
BX20-013,167.51,172.00,QFP
BX20-015,0.00,22.54,VOLC
BX20-015,22.54,38.32,BZPZ
BX20-015,38.32,61.81,DIOR
BX20-015,61.81,95.10,QFP
BX20-015,95.10,115.83,QFP
BX20-015,115.83,143.64,BZPZ
BX20-015,143.64,158.16,DIOR
BX20-015,158.16,163.00,QFP
BX20-016,0.00,29.19,BZPZ
BX20-016,29.19,41.41,BZTF
BX20-016,41.41,60.85,QFP
BX20-016,60.85,70.32,QFP
BX20-016,70.32,94.97,VOLC
BX20-016,94.97,119.05,QFP
BX20-016,119.05,138.40,DIOR
BX20-016,138.40,148.48,QFP
BX20-016,148.48,170.33,SDST
BX20-016,170.33,198.68,QFP
BX20-016,198.68,201.00,QFP
BX20-017,0.00,28.80,BZPZ
BX20-017,28.80,63.74,BZPZ
BX20-017,63.74,89.51,QFP
BX20-017,89.51,124.03,DIOR
BX20-017,124.03,148.55,DIOR
BX20-017,148.55,170.52,QFP
BX20-017,170.52,197.00,SDST
BX20-018,0.00,20.53,VOLC
BX20-018,20.53,47.20,BZPZ
BX20-018,47.20,78.10,VOLC
BX20-018,78.10,103.21,VOLC
BX20-018,103.21,114.16,BZTF
BX20-018,114.16,129.96,BZPZ
BX20-018,129.96,145.17,SDST
BX20-018,145.17,173.80,VOLC
BX20-018,173.80,194.31,SDST
BX20-018,194.31,204.80,MDST
BX20-018,204.80,216.34,BZTF
BX20-018,216.34,232.94,TSBF
BX20-018,232.94,255.97,QFP
BX20-018,255.97,267.52,TSBF
BX20-018,267.52,268.00,BZTF
BX20-019,0.00,27.50,BZTF
BX20-019,27.50,45.45,BZPZ
BX20-019,45.45,63.06,BZPZ
BX20-019,63.06,82.20,VOLC
BX20-019,82.20,112.99,BZTF
BX20-019,112.99,122.44,BZTF
BX20-019,122.44,155.09,BZTF
BX20-019,155.09,174.00,TSBF
BX21-022,0.00,9.09,BZTF
BX21-022,9.09,23.23,BZTF
BX21-022,23.23,56.15,BZPZ
BX21-022,56.15,83.53,BZTF
BX21-022,83.53,115.93,BZPZ
BX21-022,115.93,142.00,MDST
BX21-023,0.00,17.53,DIOR
BX21-023,17.53,46.07,BZTF
BX21-023,46.07,55.43,DIOR
BX21-023,55.43,71.41,QFP
BX21-023,71.41,102.87,DIOR
BX21-023,102.87,113.39,MDST
BX21-023,113.39,124.35,DIOR
BX21-023,124.35,133.00,DIOR
BX21-024,0.00,28.67,BZTF
BX21-024,28.67,53.15,QFP
BX21-024,53.15,74.45,MDST
BX21-024,74.45,90.63,BZTF
BX21-024,90.63,107.78,VOLC
BX21-024,107.78,123.45,DIOR
BX21-024,123.45,158.08,DIOR
BX21-024,158.08,184.56,DIOR
BX21-024,184.56,206.34,QFP
BX21-024,206.34,217.88,QFP
BX21-024,217.88,228.00,QFP
BX21-026,0.00,16.67,BZPZ
BX21-026,16.67,43.91,BZTF
BX21-026,43.91,73.43,QFP
BX21-026,73.43,98.47,DIOR
BX21-026,98.47,127.67,DIOR
BX21-026,127.67,158.71,SDST
BX21-026,158.71,179.91,DIOR
BX21-026,179.91,194.00,TSBF
BX21-027,0.00,22.64,BZTF
BX21-027,22.64,50.27,BZPZ
BX21-027,50.27,82.47,QFP
BX21-027,82.47,110.45,BZTF
BX21-027,110.45,122.77,VOLC
BX21-027,122.77,138.97,MDST
BX21-027,138.97,161.83,SDST
BX21-027,161.83,180.27,MDST
BX21-027,180.27,208.95,TSBF
BX21-027,208.95,218.41,TSBF
BX21-027,218.41,233.83,SDST
BX21-027,233.83,266.35,MDST
BX21-027,266.35,291.92,MDST
BX21-027,291.92,295.00,DIOR
BX21-029,0.00,19.67,BZPZ
BX21-029,19.67,33.24,VOLC
BX21-029,33.24,60.09,VOLC
BX21-029,60.09,77.52,VOLC
BX21-029,77.52,90.18,VOLC
BX21-029,90.18,98.56,SDST
BX21-029,98.56,127.76,VOLC
BX21-029,127.76,144.29,BZPZ
BX21-029,144.29,167.75,TSBF
BX21-029,167.75,181.12,SDST
BX21-029,181.12,196.01,QFP
BX21-029,196.01,222.47,TSBF
BX21-029,222.47,251.62,MDST
BX21-029,251.62,284.00,TSBF
BX21-029,284.00,294.00,DIOR
BX21-030,0.00,25.92,BZPZ
BX21-030,25.92,44.98,BZPZ
BX21-030,44.98,66.95,BZPZ
BX21-030,66.95,92.60,BZPZ
BX21-030,92.60,102.94,BZTF
BX21-030,102.94,125.63,QFP
BX21-030,125.63,156.47,BZPZ
BX21-030,156.47,169.97,SDST
BX21-030,169.97,184.10,TSBF
BX21-030,184.10,214.31,MDST
BX21-030,214.31,225.11,SDST
BX21-030,225.11,250.96,TSBF
BX21-030,250.96,261.00,MDST
BX21-031,0.00,19.27,VOLC
BX21-031,19.27,50.88,VOLC
BX21-031,50.88,80.09,BZTF
BX21-031,80.09,102.90,BZPZ
BX21-031,102.90,111.31,VOLC
BX21-031,111.31,145.87,TSBF
BX21-031,145.87,163.05,TSBF
BX21-031,163.05,184.00,TSBF
BX21-032,0.00,34.53,BZPZ
BX21-032,34.53,44.09,BZTF
BX21-032,44.09,76.21,BZPZ
BX21-032,76.21,101.51,BZTF
BX21-032,101.51,117.92,TSBF
BX21-032,117.92,139.94,TSBF
BX21-032,139.94,157.38,SDST
BX21-032,157.38,170.24,MDST
BX21-032,170.24,186.24,TSBF
BX21-032,186.24,216.79,SDST
BX21-032,216.79,233.23,TSBF
BX21-032,233.23,255.99,TSBF
BX21-032,255.99,286.02,MDST
BX21-032,286.02,293.00,MDST
BX21-033,0.00,11.83,VOLC
BX21-033,11.83,35.73,VOLC
BX21-033,35.73,48.40,BZTF
BX21-033,48.40,68.75,BZPZ
BX21-033,68.75,102.58,BZPZ
BX21-033,102.58,124.16,TSBF
BX21-033,124.16,158.43,MDST
BX21-033,158.43,190.37,MDST
BX21-033,190.37,202.60,TSBF
BX21-033,202.60,221.53,TSBF
BX21-033,221.53,228.00,BZTF
BX21-034,0.00,30.84,VOLC
BX21-034,30.84,58.34,DIOR
BX21-034,58.34,78.53,DIOR
BX21-034,78.53,88.47,BZPZ
BX21-034,88.47,100.05,TSBF
BX21-034,100.05,132.80,MDST
BX21-034,132.80,154.00,BZPZ
BX21-035,0.00,27.61,BZTF
BX21-035,27.61,38.58,BZTF
BX21-035,38.58,47.18,QFP
BX21-035,47.18,72.55,QFP
BX21-035,72.55,104.33,QFP
BX21-035,104.33,123.24,DIOR
BX21-035,123.24,152.77,SDST
BX21-035,152.77,173.59,DIOR
BX21-035,173.59,192.25,DIOR
BX21-035,192.25,197.00,QFP
BX21-036,0.00,9.61,BZPZ
BX21-036,9.61,42.31,BZTF
BX21-036,42.31,66.77,DIOR
BX21-036,66.77,78.40,BZTF
BX21-036,78.40,88.47,QFP
BX21-036,88.47,115.70,QFP
BX21-036,115.70,127.98,QFP
BX21-036,127.98,143.33,SDST
BX21-036,143.33,169.54,SDST
BX21-036,169.54,176.00,DIOR
BX21-038,0.00,29.79,BZTF
BX21-038,29.79,63.98,BZPZ
BX21-038,63.98,82.44,VOLC
BX21-038,82.44,108.63,BZPZ
BX21-038,108.63,131.54,VOLC
BX21-038,131.54,151.49,BZTF
BX21-038,151.49,186.31,QFP
BX21-038,186.31,200.00,MDST
BX21-039,0.00,23.26,BZTF
BX21-039,23.26,37.59,BZTF
BX21-039,37.59,53.49,BZTF
BX21-039,53.49,72.28,VOLC
BX21-039,72.28,100.38,VOLC
BX21-039,100.38,114.41,MDST
BX21-039,114.41,128.42,BZTF
BX21-039,128.42,159.16,SDST
BX21-039,159.16,181.39,SDST
BX21-039,181.39,200.00,MDST
BX21-040,0.00,22.25,BZTF
BX21-040,22.25,50.35,BZTF
BX21-040,50.35,60.64,VOLC
BX21-040,60.64,81.51,BZPZ
BX21-040,81.51,99.70,VOLC
BX21-040,99.70,125.56,SDST
BX21-040,125.56,151.75,VOLC
BX21-040,151.75,180.20,SDST
BX21-040,180.20,201.00,MDST
BX22-041,0.00,29.19,BZPZ
BX22-041,29.19,46.24,TSBF
BX22-041,46.24,59.67,BZPZ
BX22-041,59.67,90.37,TSBF
BX22-041,90.37,113.56,BZTF
BX22-041,113.56,127.00,BZPZ
BX22-042,0.00,27.02,BZPZ
BX22-042,27.02,38.77,VOLC
BX22-042,38.77,70.51,BZTF
BX22-042,70.51,83.00,QFP
BX22-042,83.00,110.30,MDST
BX22-042,110.30,136.81,TSBF
BX22-042,136.81,157.18,TSBF
BX22-042,157.18,169.46,TSBF
BX22-042,169.46,194.10,TSBF
BX22-042,194.10,206.25,MDST
BX22-042,206.25,226.95,MDST
BX22-042,226.95,237.93,SDST
BX22-042,237.93,265.37,SDST
BX22-042,265.37,288.59,SDST
BX22-042,288.59,314.00,SDST
BX22-043,0.00,29.40,BZTF
BX22-043,29.40,40.54,BZPZ
BX22-043,40.54,68.90,BZTF
BX22-043,68.90,79.11,BZTF
BX22-043,79.11,97.84,BZPZ
BX22-043,97.84,124.46,MDST
BX22-043,124.46,151.14,MDST
BX22-043,151.14,173.82,TSBF
BX22-043,173.82,196.47,SDST
BX22-043,196.47,205.12,SDST
BX22-043,205.12,227.42,TSBF
BX22-043,227.42,232.00,MDST
BX22-044,0.00,24.90,BZTF
BX22-044,24.90,43.74,VOLC
BX22-044,43.74,73.73,MDST
BX22-044,73.73,85.31,BZTF
BX22-044,85.31,99.43,VOLC
BX22-044,99.43,133.13,TSBF
BX22-044,133.13,155.01,MDST
BX22-044,155.01,185.09,TSBF
BX22-044,185.09,207.25,TSBF
BX22-044,207.25,236.89,MDST
BX22-044,236.89,256.63,TSBF
BX22-044,256.63,269.00,MDST
BX22-045,0.00,28.67,VOLC
BX22-045,28.67,54.03,BZTF
BX22-045,54.03,86.67,VOLC
BX22-045,86.67,106.69,BZPZ
BX22-045,106.69,117.35,DIOR
BX22-045,117.35,135.54,MDST
BX22-045,135.54,168.24,TSBF
BX22-045,168.24,191.69,MDST
BX22-045,191.69,200.88,SDST
BX22-045,200.88,224.47,SDST
BX22-045,224.47,241.00,DIOR
BX22-046,0.00,8.66,VOLC
BX22-046,8.66,22.66,BZPZ
BX22-046,22.66,47.46,VOLC
BX22-046,47.46,60.97,VOLC
BX22-046,60.97,84.25,DIOR
BX22-046,84.25,112.60,VOLC
BX22-046,112.60,140.81,SDST
BX22-046,140.81,150.60,MDST
BX22-046,150.60,176.92,TSBF
BX22-046,176.92,201.13,SDST
BX22-046,201.13,229.48,QFP
BX22-046,229.48,243.66,MDST
BX22-046,243.66,276.61,SDST
BX22-046,276.61,302.00,MDST
BX22-049,0.00,27.50,BZPZ
BX22-049,27.50,41.45,BZPZ
BX22-049,41.45,52.64,BZTF
BX22-049,52.64,82.32,BZPZ
BX22-049,82.32,96.05,BZPZ
BX22-049,96.05,109.40,BZTF
BX22-049,109.40,141.00,VOLC
BX22-049,141.00,169.80,TSBF
BX22-049,169.80,195.00,QFP
BX22-049,195.00,221.85,SDST
BX22-049,221.85,232.06,SDST
BX22-049,232.06,264.00,MDST
BX22-051,0.00,11.56,VOLC
BX22-051,11.56,45.25,DIOR
BX22-051,45.25,70.19,BZPZ
BX22-051,70.19,88.97,BZPZ
BX22-051,88.97,116.02,TSBF
BX22-051,116.02,135.70,MDST
BX22-051,135.70,147.75,SDST
BX22-051,147.75,163.11,SDST
BX22-051,163.11,180.69,SDST
BX22-051,180.69,202.32,MDST
BX22-051,202.32,205.00,SDST
BX22-052,0.00,32.40,BZTF
BX22-052,32.40,57.29,BZTF
BX22-052,57.29,80.95,BZPZ
BX22-052,80.95,94.72,BZTF
BX22-052,94.72,122.77,TSBF
BX22-052,122.77,141.59,SDST
BX22-052,141.59,171.65,TSBF
BX22-052,171.65,191.58,SDST
BX22-052,191.58,208.05,MDST
BX22-052,208.05,224.00,DIOR
BX22-054,0.00,32.22,VOLC
BX22-054,32.22,46.89,BZTF
BX22-054,46.89,74.91,DIOR
BX22-054,74.91,107.29,VOLC
BX22-054,107.29,125.90,TSBF
BX22-054,125.90,139.42,TSBF
BX22-054,139.42,141.00,TSBF
BX22-056,0.00,12.57,BZTF
BX22-056,12.57,46.74,BZPZ
BX22-056,46.74,69.24,VOLC
BX22-056,69.24,101.28,BZPZ
BX22-056,101.28,131.33,MDST
BX22-056,131.33,141.81,MDST
BX22-056,141.81,162.18,SDST
BX22-056,162.18,185.08,MDST
BX22-056,185.08,189.00,VOLC
BX22-057,0.00,33.45,VOLC
BX22-057,33.45,66.51,BZPZ
BX22-057,66.51,97.27,BZPZ
BX22-057,97.27,127.06,BZTF
BX22-057,127.06,158.98,MDST
BX22-057,158.98,182.68,SDST
BX22-057,182.68,191.00,SDST
BX22-058,0.00,9.53,TSBF
BX22-058,9.53,39.79,BZPZ
BX22-058,39.79,70.98,VOLC
BX22-058,70.98,83.42,SDST
BX22-058,83.42,110.34,QFP
BX22-058,110.34,127.22,BZTF
BX22-058,127.22,146.68,BZTF
BX22-058,146.68,151.00,VOLC
BX22-059,0.00,16.88,BZTF
BX22-059,16.88,41.16,BZPZ
BX22-059,41.16,75.97,BZTF
BX22-059,75.97,89.20,VOLC
BX22-059,89.20,112.54,BZTF
BX22-059,112.54,147.29,TSBF
BX22-059,147.29,153.00,TSBF
