HoleID,From_m,To_m,Zn_pct,Pb_pct,Ag_ppm,BD_tonnes_m3,LowRecovery_<=85pct
BX20-001,214.00,216.00,0.020,0.102,0.5,2.627,N
BX20-001,216.00,218.00,0.422,0.137,2.5,2.670,N
BX20-001,218.00,219.00,0.715,0.180,3.7,2.731,N
BX20-001,219.00,220.50,0.166,0.118,0.5,2.637,N
BX20-001,220.50,221.50,0.379,0.115,1.1,2.630,N
BX20-001,221.50,222.50,0.151,0.010,0.5,2.599,N
BX20-001,222.50,224.00,0.188,0.010,0.5,2.631,N
BX20-001,224.00,225.00,0.020,0.048,1.8,2.654,Y
BX20-001,225.00,226.00,0.262,0.037,0.5,2.643,N
BX20-001,226.00,227.00,0.020,0.010,0.8,2.615,N
BX20-001,227.00,228.00,0.382,0.091,0.9,2.631,N
BX20-001,228.00,229.00,0.076,0.010,0.5,2.614,N
BX20-001,229.00,230.00,0.210,0.026,1.1,2.656,N
BX20-001,230.00,231.50,0.020,0.010,1.3,2.670,N
BX20-001,231.50,233.50,0.020,0.151,0.5,2.629,N
BX20-001,233.50,234.50,0.020,0.022,3.1,2.637,N
BX20-001,234.50,236.00,0.092,0.125,4.0,2.649,N
BX20-001,236.00,237.50,0.300,0.117,0.5,2.640,N
BX20-001,237.50,239.00,0.020,0.010,1.1,2.574,N
BX20-001,239.00,240.00,0.020,0.010,0.5,2.636,N
BX20-001,240.00,241.00,0.020,0.010,2.5,2.643,N
BX20-001,241.00,242.00,0.020,0.049,0.5,2.579,N
BX20-001,242.00,243.00,0.020,0.010,3.5,2.595,N
BX20-001,243.00,244.00,0.020,0.010,0.5,2.617,N
BX20-001,244.00,246.00,0.471,0.188,4.1,2.654,N
BX20-001,246.00,247.50,0.020,0.065,0.5,2.665,N
BX20-001,247.50,249.00,0.024,0.215,0.5,2.583,N
BX20-001,249.00,250.00,0.020,0.010,0.5,2.601,N
BX20-001,250.00,251.50,0.389,0.139,0.5,2.622,N
BX20-001,251.50,252.50,0.020,0.010,0.5,2.673,N
BX20-001,252.50,253.50,0.020,0.010,0.5,2.654,N
BX20-001,253.50,254.50,0.366,0.171,0.5,2.592,N
BX20-001,254.50,256.00,0.020,0.010,1.0,2.574,N
BX20-001,256.00,257.50,0.020,0.063,6.9,2.637,N
BX20-001,257.50,259.00,0.020,0.010,0.5,2.636,N
BX20-001,259.00,260.00,0.020,0.052,1.8,2.651,N
BX20-001,260.00,261.50,0.020,0.068,0.5,2.613,N
BX20-001,261.50,263.00,0.443,0.027,4.8,2.631,N
BX20-001,263.00,264.00,0.020,0.010,0.5,2.673,N
BX20-001,264.00,265.00,0.020,0.010,0.7,2.652,N
BX20-001,265.00,266.00,0.200,0.091,1.0,2.673,N
BX20-001,266.00,267.50,0.020,0.010,2.0,2.607,N
BX20-001,267.50,269.50,0.259,0.148,1.0,2.639,N
BX20-001,269.50,271.00,0.386,0.166,2.1,2.629,N
BX20-001,271.00,272.00,0.020,0.104,0.5,2.604,N
BX20-001,272.00,274.00,0.091,0.010,1.0,2.583,N
BX20-001,274.00,275.50,0.020,0.046,2.9,2.609,N
BX20-001,275.50,277.00,0.643,0.249,4.1,2.643,N
BX20-001,277.00,278.50,0.469,0.187,1.3,2.689,N
BX20-001,278.50,279.00,0.020,0.010,0.7,2.570,N
BX20-003,0.00,1.00,4.977,1.733,30.8,2.925,N
BX20-003,1.00,2.00,4.492,1.545,25.5,2.910,N
BX20-003,2.00,3.00,4.580,1.392,27.0,2.925,N
BX20-003,3.00,4.50,4.719,1.480,27.5,2.932,N
BX20-003,4.50,6.00,4.839,1.806,28.4,2.937,N
BX20-003,6.00,7.00,5.207,1.959,33.1,2.888,Y
BX20-003,7.00,8.50,4.376,1.725,23.6,2.845,N
BX20-003,8.50,9.50,4.466,1.537,27.5,2.890,N
BX20-003,9.50,10.50,4.216,1.642,25.5,2.928,N
BX20-003,10.50,12.00,4.655,1.787,27.1,2.968,N
BX20-003,12.00,13.00,4.818,1.655,27.9,2.904,N
BX20-003,13.00,14.00,4.223,1.507,27.9,2.935,N
BX20-003,14.00,15.00,4.543,1.662,30.9,2.900,N
BX20-003,15.00,16.00,4.606,1.569,29.3,2.876,N
BX20-003,16.00,18.00,4.640,1.734,29.9,2.927,N
BX20-003,18.00,20.00,4.851,1.915,24.0,2.951,N
BX20-003,20.00,21.00,4.394,1.477,25.4,2.852,N
BX20-003,21.00,22.00,4.311,1.371,28.4,2.902,N
BX20-003,22.00,23.00,4.496,1.545,25.5,2.895,N
BX20-003,23.00,24.50,4.384,1.660,27.8,2.906,N
BX20-003,24.50,25.50,3.772,1.290,25.8,2.809,N
BX20-003,25.50,26.50,3.847,1.368,23.8,2.845,N
BX20-003,26.50,27.50,4.460,1.499,30.4,2.865,N
BX20-003,27.50,29.00,4.172,1.356,25.6,2.806,N
BX20-003,29.00,30.50,3.716,1.233,22.2,2.850,N
BX20-003,30.50,31.50,3.441,1.166,22.5,2.805,N
BX20-003,31.50,32.50,3.905,1.444,24.1,2.848,N
BX20-003,32.50,34.00,2.860,1.039,15.6,2.809,N
BX20-003,34.00,35.00,4.259,1.424,21.6,2.875,N
BX20-003,35.00,36.00,4.155,1.361,26.2,2.894,N
BX20-003,36.00,37.00,3.012,1.064,16.6,2.792,N
BX20-003,37.00,38.00,3.975,1.555,25.1,2.821,N
BX20-003,38.00,40.00,3.155,1.062,21.1,2.791,N
BX20-003,40.00,42.00,3.085,1.096,17.4,2.856,N
BX20-003,42.00,43.00,3.947,1.277,27.3,2.865,N
BX20-003,43.00,44.50,3.158,1.114,20.6,2.854,N
BX20-003,44.50,46.00,3.276,1.096,19.0,2.863,N
BX20-003,46.00,48.00,2.614,0.737,16.9,2.794,N
BX20-003,48.00,49.00,3.171,1.042,15.6,2.782,N
BX20-003,49.00,51.00,3.188,1.248,15.4,2.768,N
BX20-003,51.00,53.00,3.032,0.859,16.7,2.803,N
BX20-003,53.00,54.00,2.849,0.937,17.8,2.787,N
BX20-003,54.00,56.00,2.256,0.762,12.1,2.747,N
BX20-003,56.00,57.00,1.936,0.788,12.6,2.750,N
BX20-003,57.00,58.00,2.957,1.071,14.1,2.776,N
BX20-003,58.00,59.50,2.406,0.897,12.1,2.740,N
BX20-003,59.50,61.50,2.461,0.900,12.9,2.778,N
BX20-003,61.50,62.50,1.614,0.558,11.9,2.704,N
BX20-003,62.50,64.00,2.028,0.760,11.0,2.772,N
BX20-003,64.00,65.00,2.118,0.784,14.6,2.722,N
BX20-003,65.00,67.00,1.789,0.670,14.3,2.711,N
BX20-003,67.00,68.50,2.439,0.703,15.8,2.726,N
BX20-003,68.50,70.50,2.148,0.725,12.7,2.764,N
BX20-003,70.50,71.50,2.225,0.691,13.2,2.736,N
BX20-003,71.50,72.50,2.538,0.808,17.7,2.817,N
BX20-003,72.50,73.50,1.961,0.715,11.0,2.791,N
BX20-003,73.50,74.50,1.020,0.324,8.5,2.650,N
BX20-003,74.50,76.50,1.750,0.592,10.2,2.779,N
BX20-003,76.50,77.50,1.508,0.411,9.5,2.696,N
BX20-003,77.50,79.50,2.432,0.716,13.6,2.792,N
BX20-003,79.50,81.00,1.599,0.403,11.0,2.711,N
BX20-003,81.00,82.50,1.286,0.360,11.0,2.643,N
BX20-003,82.50,83.50,1.518,0.655,9.6,2.679,N
BX20-003,83.50,84.50,1.759,0.600,9.0,2.709,N
BX20-003,84.50,85.50,0.752,0.431,3.0,2.710,N
BX20-003,85.50,87.00,0.865,0.387,5.0,2.651,N
BX20-003,87.00,88.00,1.165,0.328,6.4,2.665,N
BX20-003,88.00,89.00,1.594,0.543,7.9,2.737,N
BX20-003,89.00,90.50,0.819,0.158,8.4,2.664,N
BX20-003,90.50,92.00,0.733,0.425,3.8,2.656,N
BX20-003,92.00,93.00,0.699,0.342,1.6,2.683,N
BX20-003,93.00,94.00,1.288,0.557,4.2,2.706,N
BX20-003,94.00,95.00,0.689,0.149,5.7,2.661,N
BX20-003,95.00,96.50,0.729,0.194,3.7,2.627,N
BX20-003,96.50,97.50,0.128,0.035,1.8,2.611,N
BX20-003,97.50,98.50,0.900,0.426,5.8,2.648,N
BX20-003,98.50,100.00,0.711,0.356,5.7,2.654,N
BX20-003,100.00,101.50,1.212,0.506,6.8,2.673,N
BX20-003,101.50,103.50,1.129,0.280,7.5,2.735,N
BX20-003,103.50,105.50,0.360,0.108,3.1,2.610,N
BX20-003,105.50,107.50,0.519,0.198,2.2,2.621,N
BX20-003,107.50,108.50,0.116,0.046,4.9,2.610,N
BX20-003,108.50,110.00,0.236,0.015,0.5,2.641,N
BX20-003,110.00,112.00,0.889,0.159,7.1,2.666,N
BX20-003,112.00,114.00,0.508,0.145,3.6,2.642,N
BX20-003,114.00,115.50,0.881,0.181,4.5,2.708,N
BX20-003,115.50,116.50,0.470,0.152,4.9,2.589,N
BX20-003,116.50,117.50,0.020,0.120,0.5,2.612,N
BX20-003,117.50,118.50,0.323,0.138,1.9,2.659,N
BX20-003,118.50,119.50,0.396,0.303,7.1,2.636,N
BX20-003,119.50,120.50,0.637,0.284,0.9,2.608,N
BX20-003,120.50,121.50,0.348,0.010,5.0,2.635,N
BX20-003,121.50,123.50,0.278,0.133,3.2,2.626,N
BX20-003,123.50,124.50,0.345,0.068,6.1,2.624,N
BX20-003,124.50,125.50,0.615,0.233,1.5,2.672,N
BX20-003,125.50,127.50,0.317,0.010,0.5,2.633,N
BX20-003,127.50,129.00,0.553,0.162,3.7,2.622,N
BX20-003,129.00,130.00,0.232,0.178,0.8,2.619,N
BX20-003,130.00,132.00,0.960,0.172,6.1,2.667,N
BX20-003,132.00,133.00,0.499,0.241,2.5,2.637,N
BX20-003,133.00,134.00,0.568,0.044,6.2,2.645,N
BX20-003,134.00,135.50,0.913,0.348,9.1,2.657,N
BX20-003,135.50,136.50,0.614,0.289,4.4,2.695,N
BX20-003,136.50,137.50,0.020,0.010,1.5,2.640,N
BX20-003,137.50,138.50,0.394,0.121,2.5,2.674,N
BX20-003,138.50,140.50,0.377,0.118,2.7,2.610,N
BX20-003,140.50,141.50,0.404,0.225,1.1,2.670,N
BX20-003,141.50,142.50,0.160,0.125,1.5,2.705,N
BX20-003,142.50,143.50,0.566,0.201,0.5,2.670,N
BX20-003,143.50,145.50,0.585,0.286,5.2,2.632,N
BX20-003,145.50,146.50,0.020,0.191,3.3,2.591,N
BX20-003,146.50,147.50,0.020,0.010,0.5,2.608,N
BX20-003,147.50,149.00,0.027,0.086,0.5,2.626,N
BX20-003,149.00,150.00,0.020,0.010,0.5,2.638,N
BX20-003,150.00,151.00,0.317,0.310,2.7,2.572,N
BX20-003,151.00,153.00,0.326,0.160,4.4,2.672,N
BX20-003,153.00,154.00,0.020,0.010,1.8,2.566,N
BX20-003,154.00,155.00,0.499,0.368,4.9,2.639,N
BX20-003,155.00,156.50,0.573,0.376,6.4,2.689,N
BX20-003,156.50,157.50,0.264,0.103,0.5,2.633,N
BX20-003,157.50,159.00,0.165,0.099,0.5,2.609,Y
BX20-003,159.00,161.00,0.070,0.010,0.5,2.652,N
BX20-003,161.00,163.00,0.020,0.167,0.5,2.622,Y
BX20-003,163.00,164.00,0.292,0.194,1.1,2.665,N
BX20-003,164.00,165.00,0.020,0.056,3.6,2.678,N
BX20-003,165.00,166.00,0.020,0.119,1.3,2.591,N
BX20-003,166.00,167.00,0.020,0.010,0.5,2.587,N
BX20-003,167.00,168.00,0.020,0.040,0.5,2.590,N
BX20-003,168.00,169.00,0.380,0.223,0.5,2.674,N
BX20-003,169.00,170.50,0.020,0.010,0.5,2.604,N
BX20-003,170.50,172.00,0.020,0.010,0.5,2.625,N
BX20-003,172.00,174.00,0.020,0.177,2.2,2.638,N
BX20-003,174.00,175.00,0.279,0.089,3.0,2.646,N
BX20-003,175.00,176.00,0.020,0.124,2.6,2.664,N
BX20-003,176.00,177.00,0.020,0.010,0.5,2.627,N
BX20-003,177.00,178.00,0.364,0.135,5.4,2.651,N
BX20-003,178.00,179.00,0.020,0.010,0.9,2.609,N
BX20-003,179.00,180.00,0.020,0.010,0.6,2.641,N
BX20-003,180.00,182.00,0.020,0.010,0.5,2.598,N
BX20-003,182.00,184.00,0.020,0.148,0.5,2.593,N
BX20-003,184.00,185.50,0.076,0.159,0.5,2.611,N
BX20-003,185.50,186.50,0.045,0.010,3.1,2.660,N
BX20-003,186.50,188.50,0.020,0.010,0.5,2.616,N
BX20-003,188.50,189.50,0.313,0.117,1.2,2.639,N
BX20-003,189.50,191.00,0.297,0.187,0.5,2.682,Y
BX20-003,191.00,192.00,0.020,0.010,1.5,2.591,N
BX20-003,192.00,194.00,0.020,0.056,0.5,2.611,N
BX20-003,194.00,195.50,0.098,0.011,0.5,2.680,N
BX20-003,195.50,196.50,0.020,0.129,1.2,2.630,N
BX20-003,196.50,198.00,0.881,0.516,5.4,2.673,N
BX20-003,198.00,199.00,0.020,0.061,0.5,2.588,N
BX20-003,199.00,201.00,0.020,0.010,1.3,2.608,N
BX20-003,201.00,202.00,0.505,0.114,5.9,2.657,N
BX20-003,202.00,203.00,0.027,0.010,0.5,2.635,N
BX20-003,203.00,204.00,0.287,0.010,0.5,2.649,N
BX20-003,204.00,206.00,0.567,0.241,4.9,2.661,N
BX20-003,206.00,207.50,0.020,0.017,0.5,2.616,N
BX20-003,207.50,208.50,0.406,0.094,1.7,2.657,N
BX20-003,208.50,210.00,0.020,0.068,0.5,2.647,N
BX20-003,210.00,211.00,0.020,0.125,0.5,2.593,N
BX20-003,211.00,212.00,0.020,0.010,2.5,2.592,N
BX20-003,212.00,214.00,0.020,0.010,1.6,2.557,N
BX20-003,214.00,215.00,0.020,0.010,3.7,2.615,N
BX20-003,215.00,216.00,0.020,0.111,3.5,2.657,N
BX20-003,216.00,218.00,0.187,0.010,0.5,2.669,N
BX20-003,218.00,219.00,0.020,0.010,1.4,2.612,N
BX20-003,219.00,220.50,0.020,0.070,0.5,2.615,N
BX20-003,220.50,222.50,0.020,0.010,0.5,2.637,N
BX20-003,222.50,223.50,0.020,0.010,1.0,2.645,N
BX20-003,223.50,224.50,0.329,0.010,1.3,2.622,N
BX20-003,224.50,226.50,0.347,0.122,3.0,2.665,N
BX20-003,226.50,228.50,0.020,0.010,0.5,2.625,N
BX20-003,228.50,230.50,0.020,0.076,3.0,2.675,N
BX20-003,230.50,231.50,0.020,0.010,0.5,2.630,N
BX20-003,231.50,233.50,0.020,0.010,2.1,2.622,N
BX20-003,233.50,234.50,0.020,0.098,3.5,2.584,N
BX20-003,234.50,235.50,0.020,0.053,0.5,2.583,N
BX20-003,235.50,236.50,0.473,0.075,3.7,2.618,N
BX20-003,236.50,237.50,0.032,0.010,3.9,2.658,N
BX20-003,237.50,238.50,0.488,0.034,1.8,2.690,N
BX20-003,238.50,240.00,0.176,0.039,1.1,2.595,Y
BX20-003,240.00,241.00,0.578,0.253,3.4,2.650,N
BX20-003,241.00,243.00,0.020,0.010,0.5,2.592,N
BX20-003,243.00,245.00,0.020,0.120,0.5,2.605,N
BX20-003,245.00,246.50,0.102,0.010,1.5,2.660,N
BX20-003,246.50,248.50,0.020,0.080,0.5,2.605,N
BX20-003,248.50,250.00,0.020,0.010,0.5,2.609,N
BX20-003,250.00,252.00,0.092,0.010,1.3,2.637,N
BX20-003,252.00,254.00,0.020,0.010,0.5,2.674,N
BX20-003,254.00,255.50,0.020,0.010,1.6,2.626,N
BX20-003,255.50,256.50,0.020,0.087,1.1,2.602,N
BX20-003,256.50,257.50,0.020,0.049,0.5,2.590,N
BX20-003,257.50,259.00,0.395,0.038,1.4,2.631,N
BX20-003,259.00,260.50,0.041,0.010,1.5,2.635,N
BX20-003,260.50,261.50,0.020,0.010,0.5,2.605,N
BX20-003,261.50,263.50,0.020,0.010,2.1,2.612,N
BX20-003,263.50,265.50,0.217,0.117,0.5,2.588,N
BX20-003,265.50,267.50,0.171,0.137,2.4,2.581,N
BX20-003,267.50,268.50,0.020,0.089,0.6,2.645,Y
BX20-003,268.50,270.00,0.020,0.010,0.5,2.694,N
BX20-003,270.00,271.50,0.020,0.024,0.7,2.599,Y
BX20-003,271.50,273.00,0.020,0.038,2.3,2.642,N
BX20-003,273.00,275.00,0.020,0.065,0.5,2.598,N
BX20-003,275.00,276.00,0.020,0.078,1.3,2.651,N
BX20-003,276.00,277.00,0.356,0.098,0.5,2.632,N
BX20-003,277.00,278.00,0.020,0.020,0.5,2.620,N
BX20-003,278.00,279.50,0.020,0.029,1.0,2.557,N
BX20-003,279.50,281.00,0.120,0.010,1.0,2.666,N
BX20-003,281.00,282.00,0.236,0.063,1.4,2.597,N
BX20-003,282.00,283.00,0.020,0.010,1.0,2.558,N
BX20-003,283.00,284.00,0.192,0.034,0.5,2.602,N
BX20-003,284.00,285.50,0.020,0.101,0.5,2.587,N
BX20-003,285.50,286.50,0.242,0.022,0.5,2.666,N
BX20-003,286.50,288.50,0.463,0.036,0.5,2.621,N
BX20-003,288.50,289.50,0.020,0.101,0.5,2.671,N
BX20-003,289.50,290.50,0.020,0.076,2.3,2.599,N
BX20-003,290.50,291.50,0.774,0.284,2.8,2.620,N
BX20-003,291.50,293.00,0.020,0.142,0.5,2.564,N
BX20-003,293.00,294.00,0.020,0.010,2.7,2.603,N
BX20-003,294.00,295.00,0.573,0.201,3.5,2.672,N
BX20-003,295.00,296.50,0.161,0.033,2.2,2.632,N
BX20-003,296.50,297.50,0.168,0.010,0.5,2.580,N
BX20-003,297.50,299.00,0.296,0.347,2.4,2.670,N
BX20-003,299.00,300.50,0.020,0.010,0.8,2.631,N
BX20-003,300.50,302.50,0.020,0.010,0.9,2.656,N
