X,Y,Z,DX,DY,DZ,ROCKTYPE,WEATHERING,CLASS,ZN_PCT,AG_GPT,DENSITY,PERIOD
10060.0,20060.0,410.0,20.0,20.0,10.0,VOLCANIC,TRANSITION,INDICATED,0.084,0.51,2.625,
10060.0,20060.0,420.0,20.0,20.0,10.0,VOLCANIC,TRANSITION,INDICATED,0.020,0.12,2.621,
10060.0,20060.0,430.0,20.0,20.0,10.0,VOLCANIC,OXIDE,INDICATED,0.020,0.12,2.621,
10060.0,20060.0,440.0,20.0,20.0,10.0,VOLCANIC,OXIDE,INDICATED,0.687,4.12,2.661,
10060.0,20060.0,450.0,20.0,20.0,10.0,VOLCANIC,OXIDE,INDICATED,0.209,1.26,2.633,
10060.0,20080.0,120.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.262,1.57,2.636,
10060.0,20080.0,130.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20080.0,140.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.187,1.12,2.631,
10060.0,20080.0,150.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20080.0,160.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20080.0,170.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20080.0,180.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.233,1.40,2.634,
10060.0,20080.0,190.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.147,0.88,2.629,
10060.0,20080.0,200.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.082,0.49,2.625,
10060.0,20080.0,210.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.085,0.51,2.625,
10060.0,20080.0,220.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.288,1.73,2.637,
10060.0,20080.0,230.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.201,1.21,2.632,
10060.0,20080.0,240.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.483,2.90,2.649,
10060.0,20080.0,250.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.293,1.76,2.638,
10060.0,20080.0,260.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20080.0,270.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.217,1.30,2.633,
10060.0,20080.0,280.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20080.0,290.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20080.0,300.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20080.0,310.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.807,4.84,2.668,
10060.0,20080.0,320.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.192,1.15,2.632,
10060.0,20080.0,330.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.101,0.61,2.626,
10060.0,20080.0,340.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20080.0,350.0,20.0,20.0,10.0,VOLCANIC,FRESH,INDICATED,0.251,1.51,2.635,
10060.0,20080.0,360.0,20.0,20.0,10.0,VOLCANIC,FRESH,INDICATED,0.119,0.72,2.627,
10060.0,20080.0,370.0,20.0,20.0,10.0,VOLCANIC,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20080.0,380.0,20.0,20.0,10.0,VOLCANIC,FRESH,INDICATED,0.409,2.45,2.645,
10060.0,20080.0,390.0,20.0,20.0,10.0,VOLCANIC,TRANSITION,INDICATED,0.164,0.99,2.630,
10060.0,20080.0,400.0,20.0,20.0,10.0,VOLCANIC,TRANSITION,INDICATED,0.020,0.12,2.621,
10060.0,20080.0,410.0,20.0,20.0,10.0,VOLCANIC,TRANSITION,INDICATED,0.020,0.12,2.621,
10060.0,20080.0,420.0,20.0,20.0,10.0,VOLCANIC,TRANSITION,INDICATED,0.020,0.12,2.621,
10060.0,20080.0,430.0,20.0,20.0,10.0,VOLCANIC,OXIDE,INDICATED,0.435,2.61,2.646,
10060.0,20080.0,440.0,20.0,20.0,10.0,VOLCANIC,OXIDE,INDICATED,0.020,0.12,2.621,
10060.0,20080.0,450.0,20.0,20.0,10.0,VOLCANIC,OXIDE,INDICATED,0.020,0.12,2.621,
10060.0,20100.0,120.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20100.0,130.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.187,1.12,2.631,
10060.0,20100.0,140.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.162,0.97,2.630,
10060.0,20100.0,150.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.076,0.46,2.625,
10060.0,20100.0,160.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.058,0.35,2.623,
10060.0,20100.0,170.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.136,0.82,2.628,
10060.0,20100.0,180.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20100.0,190.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20100.0,200.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20100.0,210.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20100.0,220.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20100.0,230.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.199,1.19,2.632,
10060.0,20100.0,240.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20100.0,250.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.199,1.19,2.632,
10060.0,20100.0,260.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.248,1.49,2.635,
10060.0,20100.0,270.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.671,4.02,2.660,
10060.0,20100.0,280.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.262,1.57,2.636,
10060.0,20100.0,290.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.324,1.95,2.639,
10060.0,20100.0,300.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.127,0.76,2.628,
10060.0,20100.0,310.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20100.0,320.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20100.0,330.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.653,3.92,2.659,
10060.0,20100.0,340.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.543,3.26,2.653,
10060.0,20100.0,350.0,20.0,20.0,10.0,VOLCANIC,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20100.0,360.0,20.0,20.0,10.0,VOLCANIC,FRESH,INDICATED,0.093,0.56,2.626,
10060.0,20100.0,370.0,20.0,20.0,10.0,VOLCANIC,FRESH,INDICATED,0.051,0.31,2.623,
10060.0,20100.0,380.0,20.0,20.0,10.0,VOLCANIC,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20100.0,390.0,20.0,20.0,10.0,VOLCANIC,TRANSITION,INDICATED,0.253,1.52,2.635,
10060.0,20100.0,400.0,20.0,20.0,10.0,VOLCANIC,TRANSITION,INDICATED,0.119,0.71,2.627,
10060.0,20100.0,410.0,20.0,20.0,10.0,VOLCANIC,TRANSITION,INDICATED,0.314,1.88,2.639,
10060.0,20100.0,420.0,20.0,20.0,10.0,VOLCANIC,TRANSITION,INDICATED,0.141,0.84,2.628,
10060.0,20100.0,430.0,20.0,20.0,10.0,VOLCANIC,OXIDE,INDICATED,0.020,0.12,2.621,
10060.0,20100.0,440.0,20.0,20.0,10.0,VOLCANIC,OXIDE,INDICATED,0.022,0.13,2.621,
10060.0,20100.0,450.0,20.0,20.0,10.0,VOLCANIC,OXIDE,INDICATED,0.020,0.12,2.621,
10060.0,20120.0,120.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.292,1.75,2.638,
10060.0,20120.0,130.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.297,1.78,2.638,
10060.0,20120.0,140.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20120.0,150.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.196,1.18,2.632,
10060.0,20120.0,160.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20120.0,170.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20120.0,180.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.369,2.21,2.642,
10060.0,20120.0,190.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20120.0,200.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20120.0,210.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20120.0,220.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20120.0,230.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20120.0,240.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20120.0,250.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.418,2.51,2.645,
10060.0,20120.0,260.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20120.0,270.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.265,1.59,2.636,
10060.0,20120.0,280.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20120.0,290.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20120.0,300.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20120.0,310.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.101,0.61,2.626,
10060.0,20120.0,320.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20120.0,330.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.379,2.28,2.643,
10060.0,20120.0,340.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20120.0,350.0,20.0,20.0,10.0,VOLCANIC,FRESH,INDICATED,0.411,2.47,2.645,
10060.0,20120.0,360.0,20.0,20.0,10.0,VOLCANIC,FRESH,INDICATED,0.261,1.57,2.636,
10060.0,20120.0,370.0,20.0,20.0,10.0,VOLCANIC,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20120.0,380.0,20.0,20.0,10.0,VOLCANIC,FRESH,INDICATED,0.137,0.82,2.628,
10060.0,20120.0,390.0,20.0,20.0,10.0,VOLCANIC,TRANSITION,INDICATED,0.020,0.12,2.621,
10060.0,20120.0,400.0,20.0,20.0,10.0,VOLCANIC,TRANSITION,INDICATED,0.166,0.99,2.630,
10060.0,20120.0,410.0,20.0,20.0,10.0,VOLCANIC,TRANSITION,INDICATED,0.020,0.12,2.621,
10060.0,20120.0,420.0,20.0,20.0,10.0,VOLCANIC,TRANSITION,INDICATED,0.214,1.28,2.633,
10060.0,20120.0,430.0,20.0,20.0,10.0,VOLCANIC,OXIDE,INDICATED,0.083,0.50,2.625,
10060.0,20120.0,440.0,20.0,20.0,10.0,VOLCANIC,OXIDE,INDICATED,0.020,0.12,2.621,
10060.0,20120.0,450.0,20.0,20.0,10.0,VOLCANIC,OXIDE,INDICATED,0.020,0.12,2.621,
10060.0,20140.0,120.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20140.0,130.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20140.0,140.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.347,2.08,2.641,
10060.0,20140.0,150.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20140.0,160.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20140.0,170.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20140.0,180.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20140.0,190.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20140.0,200.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.148,0.89,2.629,
10060.0,20140.0,210.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20140.0,220.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.163,0.98,2.630,
10060.0,20140.0,230.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.464,2.78,2.648,
10060.0,20140.0,240.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.130,0.78,2.628,
10060.0,20140.0,250.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20140.0,260.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.191,1.14,2.631,
10060.0,20140.0,270.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20140.0,280.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20140.0,290.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20140.0,300.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.219,1.32,2.633,
10060.0,20140.0,310.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20140.0,320.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20140.0,330.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20140.0,340.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20140.0,350.0,20.0,20.0,10.0,VOLCANIC,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20140.0,360.0,20.0,20.0,10.0,VOLCANIC,FRESH,INDICATED,0.114,0.68,2.627,
10060.0,20140.0,370.0,20.0,20.0,10.0,VOLCANIC,FRESH,INDICATED,0.024,0.15,2.621,
10060.0,20140.0,380.0,20.0,20.0,10.0,VOLCANIC,FRESH,INDICATED,0.131,0.78,2.628,
10060.0,20140.0,390.0,20.0,20.0,10.0,VOLCANIC,TRANSITION,INDICATED,0.020,0.12,2.621,
10060.0,20140.0,400.0,20.0,20.0,10.0,VOLCANIC,TRANSITION,INDICATED,0.020,0.12,2.621,
10060.0,20140.0,410.0,20.0,20.0,10.0,VOLCANIC,TRANSITION,INDICATED,0.020,0.12,2.621,
10060.0,20140.0,420.0,20.0,20.0,10.0,VOLCANIC,TRANSITION,INDICATED,0.020,0.12,2.621,
10060.0,20140.0,430.0,20.0,20.0,10.0,VOLCANIC,OXIDE,INDICATED,0.666,4.00,2.660,
10060.0,20140.0,440.0,20.0,20.0,10.0,VOLCANIC,OXIDE,INDICATED,0.225,1.35,2.633,
10060.0,20140.0,450.0,20.0,20.0,10.0,VOLCANIC,OXIDE,INDICATED,0.076,0.46,2.625,
10060.0,20160.0,120.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20160.0,130.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20160.0,140.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20160.0,150.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.088,0.53,2.625,
10060.0,20160.0,160.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20160.0,170.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20160.0,180.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20160.0,190.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20160.0,200.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.196,1.18,2.632,
10060.0,20160.0,210.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.058,0.35,2.623,
10060.0,20160.0,220.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20160.0,230.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20160.0,240.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20160.0,250.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.361,2.16,2.642,
10060.0,20160.0,260.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20160.0,270.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.737,4.42,2.664,
10060.0,20160.0,280.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.124,0.75,2.627,
10060.0,20160.0,290.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20160.0,300.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20160.0,310.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20160.0,320.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.390,2.34,2.643,
10060.0,20160.0,330.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20160.0,340.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.330,1.98,2.640,
10060.0,20160.0,350.0,20.0,20.0,10.0,VOLCANIC,FRESH,INDICATED,0.466,2.80,2.648,
10060.0,20160.0,360.0,20.0,20.0,10.0,VOLCANIC,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20160.0,370.0,20.0,20.0,10.0,VOLCANIC,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20160.0,380.0,20.0,20.0,10.0,VOLCANIC,FRESH,INDICATED,0.031,0.19,2.622,
10060.0,20160.0,390.0,20.0,20.0,10.0,VOLCANIC,TRANSITION,INDICATED,0.062,0.37,2.624,
10060.0,20160.0,400.0,20.0,20.0,10.0,VOLCANIC,TRANSITION,INDICATED,0.541,3.24,2.652,
10060.0,20160.0,410.0,20.0,20.0,10.0,VOLCANIC,TRANSITION,INDICATED,0.298,1.79,2.638,
10060.0,20160.0,420.0,20.0,20.0,10.0,VOLCANIC,TRANSITION,INDICATED,0.194,1.16,2.632,
10060.0,20160.0,430.0,20.0,20.0,10.0,VOLCANIC,OXIDE,INDICATED,0.020,0.12,2.621,
10060.0,20160.0,440.0,20.0,20.0,10.0,VOLCANIC,OXIDE,INDICATED,0.020,0.12,2.621,
10060.0,20160.0,450.0,20.0,20.0,10.0,VOLCANIC,OXIDE,INDICATED,0.024,0.14,2.621,
10060.0,20180.0,120.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20180.0,130.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.079,0.47,2.625,
10060.0,20180.0,140.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20180.0,150.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.143,0.86,2.629,
10060.0,20180.0,160.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20180.0,170.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20180.0,180.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20180.0,190.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20180.0,200.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.435,2.61,2.646,
10060.0,20180.0,210.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.758,4.55,2.665,
10060.0,20180.0,220.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20180.0,230.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20180.0,240.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20180.0,250.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20180.0,260.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20180.0,270.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20180.0,280.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20180.0,290.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20180.0,300.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20180.0,310.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20180.0,320.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.248,1.49,2.635,
10060.0,20180.0,330.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.475,2.85,2.648,
10060.0,20180.0,340.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.529,3.17,2.652,
10060.0,20180.0,350.0,20.0,20.0,10.0,VOLCANIC,FRESH,INDICATED,0.119,0.71,2.627,
10060.0,20180.0,360.0,20.0,20.0,10.0,VOLCANIC,FRESH,INDICATED,0.126,0.76,2.628,
10060.0,20180.0,370.0,20.0,20.0,10.0,VOLCANIC,FRESH,INDICATED,0.362,2.17,2.642,
10060.0,20180.0,380.0,20.0,20.0,10.0,VOLCANIC,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20180.0,390.0,20.0,20.0,10.0,VOLCANIC,TRANSITION,INDICATED,0.315,1.89,2.639,
10060.0,20180.0,400.0,20.0,20.0,10.0,VOLCANIC,TRANSITION,INDICATED,0.232,1.39,2.634,
10060.0,20180.0,410.0,20.0,20.0,10.0,VOLCANIC,TRANSITION,INDICATED,0.337,2.02,2.640,
10060.0,20180.0,420.0,20.0,20.0,10.0,VOLCANIC,TRANSITION,INDICATED,0.498,2.99,2.650,
10060.0,20180.0,430.0,20.0,20.0,10.0,VOLCANIC,OXIDE,INDICATED,0.020,0.12,2.621,
10060.0,20180.0,440.0,20.0,20.0,10.0,VOLCANIC,OXIDE,INDICATED,0.290,1.74,2.637,
